time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
3.018	1105.000	62966.5	0.629665	62966.5	4.5	1104.37	1100	-nan(ind)	1017.69	809.863	62966.5	2.21467e-11	-0.33841	0	0	0.00925926	0.990741	0.0787037	0.622685	0.116512	0.182099	1	0	0
3.0181	1105.000	63660	0.6366	63660	4.5	1104.36	1100	-nan(ind)	1017.72	809.869	63660	2.21447e-11	-0.69349	0	0	0.00925926	0.990741	0.0817901	0.621142	0.111883	0.185185	1	0	0
3.0182	1105.000	63106.4	0.631064	63106.4	4.5	1104.37	1100	-nan(ind)	1017.7	809.861	63106.4	2.21468e-11	0.553595	0	0	0.0162037	0.983796	0.0833333	0.618056	0.114198	0.184414	1	0	0
3.0183	1105.000	63098.1	0.630981	63098.1	4.5	1104.37	1100	-nan(ind)	1017.7	809.859	63098.1	2.2147e-11	0.00837236	0	0	0.0208333	0.979167	0.0833333	0.615741	0.115741	0.185185	1	0	0
3.0184	1105.000	63285.6	0.632856	63285.6	4.5	1104.37	1100	-nan(ind)	1017.7	809.866	63285.6	2.21458e-11	-0.187493	0	0	0.0277778	0.972222	0.0895062	0.611883	0.112654	0.185957	1	0	0
3.0185	1105.000	62992.4	0.629924	62992.4	4.5	1104.37	1100	-nan(ind)	1017.7	809.859	62992.4	2.21472e-11	0.293195	0	0	0.0231481	0.976852	0.087963	0.614198	0.113426	0.184414	1	0	0
3.0186	1105.000	63398	0.63398	63398	4.5	1104.37	1100	-nan(ind)	1017.71	809.866	63398	2.21455e-11	-0.405613	0	0	0.0208333	0.979167	0.087963	0.611883	0.113426	0.186728	1	0	0
3.0187	1105.000	63235.8	0.632358	63235.8	4.5	1104.37	1100	-nan(ind)	1017.7	809.866	63235.8	2.21459e-11	0.162197	0	0	0.0185185	0.981481	0.0833333	0.614198	0.114969	0.1875	1	0	0
3.0188	1105.000	63117.5	0.631175	63117.5	4.5	1104.37	1100	-nan(ind)	1017.7	809.86	63117.5	2.21468e-11	0.118247	0	0	0.0162037	0.983796	0.0848765	0.609568	0.117284	0.188272	1	0	0
3.0189	1105.000	63028.5	0.630285	63028.5	4.5	1104.37	1100	-nan(ind)	1017.7	809.862	63028.5	2.21468e-11	0.0890387	0	0	0.0138889	0.986111	0.0833333	0.607253	0.121914	0.1875	1	0	0
3.019	1105.000	62932.9	0.629329	62932.9	4.5	1104.37	1100	-nan(ind)	1017.69	809.863	62932.9	2.21468e-11	0.0956166	0	0	0.025463	0.974537	0.0787037	0.612654	0.121914	0.186728	1	0	0
3.0191	1105.000	62771.4	0.627714	62771.4	4.5	1104.37	1100	-nan(ind)	1017.69	809.86	62771.4	2.21474e-11	0.161438	0	0	0.0208333	0.979167	0.0756173	0.618827	0.119599	0.185957	1	0	0
3.0192	1105.000	62858.1	0.628581	62858.1	4.5	1104.37	1100	-nan(ind)	1017.69	809.858	62858.1	2.21475e-11	-0.0866213	0	0	0.0208333	0.979167	0.0787037	0.616512	0.118827	0.185957	1	0	0
3.0193	1105.000	62200.8	0.622008	62200.8	4.5	1104.38	1100	-nan(ind)	1017.67	809.851	62200.8	2.21497e-11	0.657279	0	0	0.0185185	0.981481	0.0802469	0.611111	0.125772	0.18287	1	0	0
3.0194	1105.000	62250.6	0.622506	62250.6	4.5	1104.38	1100	-nan(ind)	1017.68	809.85	62249.7	2.21497e-11	-0.0498689	0	0	0.0231481	0.976852	0.0802469	0.611111	0.125772	0.18287	1	0	0
3.0195	1105.000	62435.6	0.624356	62435.6	4.5	1104.38	1100	-nan(ind)	1017.69	809.848	62435.6	2.21496e-11	-0.184991	0	0	0.025463	0.974537	0.0802469	0.611883	0.125772	0.182099	1	0	0
3.0196	1105.000	61876.6	0.618766	61876.6	4.5	1104.38	1100	-nan(ind)	1017.66	809.845	61876.6	2.2151e-11	0.559034	0	0	0.0208333	0.979167	0.0848765	0.603395	0.130401	0.181327	1	0	0
3.0197	1105.000	61840.6	0.618406	61840.6	4.5	1104.38	1100	-nan(ind)	1017.66	809.845	61840.6	2.21511e-11	0.035969	0	0	0.0185185	0.981481	0.0895062	0.596451	0.133488	0.180556	1	0	0
3.0198	1105.000	61208.3	0.612083	61208.3	4.5	1104.39	1100	-nan(ind)	1017.64	809.836	61208.3	2.21534e-11	0.632366	0	0	0.0185185	0.981481	0.0833333	0.603395	0.134259	0.179012	1	0	0
3.0199	1105.000	61360.9	0.613609	61360.9	4.5	1104.39	1100	-nan(ind)	1017.65	809.84	61360.9	2.21527e-11	-0.152592	0	0	0.00925926	0.990741	0.0848765	0.607253	0.128086	0.179784	1	0	0
3.02	1105.000	61231.7	0.612317	61231.7	4.5	1104.39	1100	-nan(ind)	1017.65	809.836	61231.7	2.21534e-11	0.129114	0	0	0.0162037	0.983796	0.087963	0.604167	0.128858	0.179012	1	0	0
3.021	1105.000	61822.2	0.618222	61822.2	4.5	1104.38	1100	-nan(ind)	1017.66	809.844	61822.2	2.21513e-11	-0.059042	0	0	0.0231481	0.976852	0.100309	0.594136	0.124228	0.181327	1	0	0
3.022	1105.000	62461.4	0.624614	62461.4	4.5	1104.38	1100	-nan(ind)	1017.68	809.854	62461.4	2.21489e-11	-0.0639225	0	0	0.0231481	0.976852	0.111111	0.597222	0.107253	0.184414	1	0	0
